Steel;Toughness (avg);Edge Retention (avg);Corrosion Resistance (avg);quality score2;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Mean price
PM-MagnaCut;7;5;9.5;7.824543853;1.15;10.7;2;4;0;0;0;0.5;0.4;0;0;0;2;0.2;PM;250
PM-S90V;3.5;9;7.5;7.843736774;2.25;13.2;1.15;9.25;0;0;0;0.5;0.9;0.03;0;0;0;0;PM;225
Vanadis 8;6;7.5;4;7.79691514;2.3;4.8;3.6;8;0;0;0;0.4;0.4;0;0;0;0;0;PM;
PM-10V;5;8.5;4;7.799663247;2.45;5.25;1.3;9.75;0;0;0;0.5;0.9;0.07;0;0;0;0;PM;275
K390;5.25;8;4;7.73878938;2.47;4.2;3.8;9;1;2;0;0.4;0.55;0;0;0;0;0;PM;150
15V;3.5;10;4;7.622526528;3.4;5.25;1.3;14.7;0.4;0;0;0.5;0.9;0.03;0.03;0;0;0;PM;225
Z-Max;3.5;10;4;7.622526528;2;4;5;5;10;9;0;0;0.12;0;0;0;0;0;PM;
Vanax;5;5.5;10;7.587415295;0.36;18.2;1.1;3.5;0.06;0.05;0.18;0.3;0.3;0.009;0.187;0.09;0;1.55;PM;375
PM-S110V;3;8.25;9;7.598995771;2.8;15.25;2.25;9;0;2.5;0;0;0;0;0;0;3;0;PM;325
PM-CruWear;8;5;5.5;7.534647417;1.13;7.75;1.55;2.4;1.1;0;0;0.3;1.2;0;0;0;0;0;PM;250
PM-3V;9;4.5;5.5;7.478557841;0.8;7.5;1.3;2.9;0.4;0;0;0.4;0.9;0.03;0.03;0;0;0;PM;250
PM-M4;6.5;6;4;7.422880333;1.45;4.5;4.5;4;5.75;0;0;0.4;0.4;0.13;0;0;0;0;PM;225
PM-S125V;2.5;9.5;7.5;7.456638985;3.25;14;2.5;12;0.4;0;0;0.5;0.9;0.03;0.03;0;0;0;PM;
M398;2.5;9;8;7.397546223;2.7;20;1;7.2;0.7;0;0;0.5;0.5;0;0;0;0;0;PM;225
M390 / PM-20CV / CTS-204P;3.5;6.5;9;7.302773098;1.9;20;1;4;0.6;0;0;0.35;0.5;0;0;0;0;0;PM;225
PM-S60V;3.5;7;7;7.225162985;2.15;17;1;5.5;0;0;0;0.4;0.4;0;0;0;0;0;PM;550
CTS-XHP;5;5.5;6.5;7.165625322;1.6;16;0.8;0.45;0;0;0.35;0.5;0.4;0;0;0;0;0;PM;225
PM-4V;7;5;4;7.13039203;1.35;5;2.95;3.85;0;0;0;0.4;0.8;0;0;0;0;0;PM;
PM-S30V;4;6;7.5;7.146147615;1.47;14;2;4;0.25;0;0;0.5;0.5;0.03;0.03;0;0;0.2;PM;225
LC200N;8.5;3;10;7.043295421;0.3;15;0.95;0;0;0;0.5;1;0;0;0;0;0;0.5;Ingot;175
PM-S35VN;5;5;7.5;7.078203768;1.4;14;2;3;0;0;0;0.4;0.4;0;0;0;0.5;0;PM;175
PM-S45VN;4;5.5;8;7.014029191;1.48;16;2;3;0;0;0;0;0;0;0;0;0.5;0.15;PM;275
Elmax;4;5.5;8;7.014029191;1.7;18;1;3;0;0;0;0.3;0.8;0;0;0;0;0;PM;200
14C28N;9;3;8.5;6.952329365;0.62;14;0;0;0;0;0;0.6;0.2;0.01;0.025;0;0;0.11;Ingot;60
Rex 45/HAP40;4.5;6;4;6.868847793;1.32;4.15;5;3.05;6.1;8;0;0.3;0.5;0;0;0;0;0;PM;
AEB-L;9;3;7;6.769973265;0.68;13;0;0;0;0;0;0.7;0.4;0.01;0.025;0;0;0;Ingot;125
PM-154;5;4.5;7;6.783158719;1.05;13.75;4;0.2;0.2;0;0;0.5;0.8;0.03;0.03;0;0;0;PM;175
Super Gold 2;4;5;7.5;6.742004536;1.35;15;2.8;2;0;0;0;0.4;0.5;0.03;0.03;0;0;0;PM;200
