Steel;Toughness (avg);Edge Retention (avg);Corrosion Resistance (avg);quality score2;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech
12C27;;;;;0.6;13.5;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.01;0.03;0.0;0.0;0.0;Ingot
AUS-10;;;;;1.025;13.75;0.2;0.175;0.0;0.0;0.49;0.5;1.0;0.03;0.04;0.0;0.0;0.0;Ingot
AUS-6;;;;;0.6;13.75;0.0;0.175;0.0;0.0;0.49;1.0;1.0;0.03;0.04;0.0;0.0;0.0;Ingot
9Cr18MoV;;;;;0.9;18.0;1.15;0.095;0.0;0.15;0.6;0.6;0.8;0.03;0.04;0.0;0.0;0.0;Ingot
10Cr15CoMoV;;;;;1.0;15.0;1.05;0.2;0.0;1.4;0.0;0.5;0.5;0.03;0.03;0.0;0.0;0.0;Ingot
5Cr15MoV;;;;;0.5;14.5;0.65;0.15;0.0;0.0;0.0;1.0;0.75;0.0075;0.02;0.0;0.0;0.0;Ingot
7Cr17MoV;;;;;0.675;17.0;0.75;0.0;0.0;0.0;0.6;1.0;1.0;0.03;0.04;0.0;0.0;0.0;Ingot
3Cr13;;;;;0.305;13.0;0.0;0.0;0.0;0.0;0.6;1.0;1.0;0.03;0.04;0.0;0.0;0.0;Ingot
420J2;;;;;0.255;13.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.03;0.04;0.0;0.0;0.0;Ingot
N680;;;;;0.54;17.3;1.1;0.1;0.0;0.0;0.5;0.4;0.45;0.0;0.0;0.0;0.0;0.2;Ingot
80CrV2;;;;;0.8;0.5;0.1;0.2;0.0;0.0;0.2;0.4;0.225;0.025;0.025;0.0;0.0;0.0;Ingot
SK5;;;;;0.85;0.15;0.0;0.0;0.0;0.0;0.125;0.3;0.225;0.03;0.03;0.0;0.0;0.0;Ingot
MAGNAMAX;;;;;2.04;10.65;2.0;8.0;0.0;0.8;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.2;PM
140Cr;;;;;1.38;14.0;2.0;0.31;0.0;0.0;0.17;0.5;0.53;0.0;0.02;0.0;0.5;0.0;Ingot
AR-RPM9;;;;;0.9;18.0;1.15;0.095;0.0;0.15;0.6;0.6;0.8;0.03;0.04;0.0;0.0;0.0;Ingot-PM average
